"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,4.52989510680865
-178,4.75817040955367
-176,4.95680179744636
-174,5.1218810517602
-172,5.24993562967976
-170,5.33784016568733
-168,5.38267076804564
-166,5.38154864004225
-164,5.33152288733844
-162,5.22954667867879
-160,5.07260958073762
-158,4.85810656547711
-156,4.58455684120927
-154,4.25283718802989
-152,3.86815427640189
-150,3.44298850915103
-148,3.00101261215164
-146,2.58111720058701
-144,2.23870184595623
-142,2.03899638720253
-140,2.03843950128344
-138,2.26020011013389
-136,2.68171274541808
-134,3.24571429269824
-132,3.88451729054282
-130,4.539343302964
-128,5.16773753214246
-126,5.74268118013448
-124,6.24873096733442
-122,6.67818334054934
-120,7.02820914783423
-118,7.29896973625861
-116,7.49246865138578
-114,7.61189617494618
-112,7.66128912950363
-110,7.64538908329866
-108,7.5696238738675
-106,7.44016157074417
-104,7.26399692146435
-102,7.04903194996899
-100,6.80410833198117
-98,6.53894371627236
-96,6.2639231658277
-94,5.98970786170804
-92,5.72665308455049
-90,5.48407756749443
-88,5.26948615821339
-86,5.08789357638997
-84,4.94140097469134
-82,4.8291254711018
-80,4.74749122294281
-78,4.69079814630948
-76,4.65192977532426
-74,4.62305988146033
-72,4.59625560525649
-70,4.56392726660589
-68,4.51912017533513
-66,4.45567205084023
-64,4.36827153896345
-62,4.25245391708818
-60,4.10456499861338
-58,3.92171767416674
-56,3.70175984787053
-54,3.44326841195262
-52,3.14558045362419
-50,2.80886793030222
-48,2.43425275874728
-46,2.02394323617137
-44,1.58134950571518
-42,1.11110893328062
-40,0.618931492200663
-38,0.111177359342784
-36,-0.405876133987509
-34,-0.927023126745205
-32,-1.44918700369629
-30,-1.97225551869607
-28,-2.49939692879256
-26,-3.03668866983153
-24,-3.59209514716159
-22,-4.17400020452459
-20,-4.78954723814769
-18,-5.44296741224664
-16,-6.13395690955889
-14,-6.85608761834037
-12,-7.59527888110713
-10,-8.32858870571758
-8,-9.0240433234401
-6,-9.64279505504982
-4,-10.1450201862306
-2,-10.4996268508332
0,-10.6947646048816
2,-10.7436976294964
4,-10.6824645177993
6,-10.5612001662395
8,-10.4345102827665
10,-10.3550591869191
12,-10.3713460014957
14,-10.5287466744146
16,-10.8727904217099
18,-11.4544650465607
20,-12.3386384234722
22,-13.6189108679666
24,-15.4472305060875
26,-18.097788661456
28,-22.0617390429653
30,-26.6934157146706
32,-23.9827178621311
34,-19.3352648630225
36,-16.1827717558484
38,-14.034228782162
40,-12.5474647796046
42,-11.5450985155862
44,-10.930889871154
46,-10.6501835933761
48,-10.6702399014496
50,-10.9673574400337
52,-11.5132307476401
54,-12.2534694515518
56,-13.0725179821156
58,-13.7591095609902
60,-14.0476682182825
62,-13.8052593111363
64,-13.1653596856792
66,-12.3873692864416
68,-11.6703579831729
70,-11.1123719859359
72,-10.7422992803387
74,-10.5501913303028
76,-10.5027338156494
78,-10.5501278844578
80,-10.6320041090277
82,-10.6880167522439
84,-10.6738269079426
86,-10.5752906188502
88,-10.4104961238269
90,-10.217644063206
92,-10.0376987862493
94,-9.90135478512483
96,-9.82291658025927
98,-9.79885535267875
100,-9.80869476970235
102,-9.81796703155806
104,-9.78475867342516
106,-9.67092987839914
108,-9.4553892606533
110,-9.14249875098515
112,-8.75989017144778
114,-8.34745535593507
116,-7.94480095098363
118,-7.58273899186518
120,-7.27957231519945
122,-7.04024747118372
124,-6.85648423101363
126,-6.70719670422687
128,-6.55986509916778
130,-6.37450072820081
132,-6.11162907675248
134,-5.74325944889497
136,-5.26203407313584
138,-4.68286039892714
140,-4.03601868588924
142,-3.35657695389179
144,-2.67584906736693
146,-2.01724111855326
148,-1.39567423280369
150,-0.818828966082348
152,-0.288895997325401
154,0.195804570236347
156,0.639520631649025
158,1.04805698293658
160,1.42796587612939
162,1.785855496236
164,2.12776941276238
166,2.45863658839526
168,2.78183193777915
170,3.09890679128429
172,3.40953740614123
174,3.71170066201221
176,4.00203564097111
178,4.27630988685944
180,4.52989510680865
